name,price,designer
Rosette Long Sleeve Top in Melt,"Rs. 13,600.00",CARBON38
Sheer Turtleneck Sweater,"Rs. 14,500.00",CARBON38
Tierney Boucle Coatigan With Scarf,"Rs. 14,600.00",525
Drapey Knit Sweatshirt in Interlock,"Rs. 14,500.00",CARBON38
Drapey Knit Sweatshirt in Interlock,"Rs. 14,500.00",CARBON38
Alison Pullover,"Rs. 44,800.00",HEAD
Mimi Long Sleeve Knit Sweater,"Rs. 26,400.00",GOLDBERGH
Vivienne Ski Pully,"Rs. 26,400.00",GOLDBERGH
Vail Boo Sweater,"Rs. 26,500.00",THE UPSIDE
Keystone Blanche Half Zip,"Rs. 17,400.00",THE UPSIDE
aSMC Reg Sweatshirt,"Rs. 11,000.00",ADIDAS BY STELLA MCCARTNEY
Metallic Slouchy Sweater,"Rs. 15,400.00",CARBON38
Martini Embellished Sweatshirt,"Rs. 14,500.00",CARBON38
Ophelia Lurex Johnny Collar Top,"Rs. 9,100.00",525
Golden Mesh Tee Shirt,"Rs. 9,000.00",CARBON38
Perfect Jacquard 1/4 Zip Baselayer,"Rs. 22,900.00",PERFECT MOMENT
Rocky Ridge Pullover,"Rs. 15,400.00",FREE PEOPLE MOVEMENT
Liquid Metallic Bodysuit,"Rs. 12,600.00",CARBON38
Liquid Metallic Long Sleeve Top,"Rs. 11,700.00",CARBON38
Silver Mesh Long Sleeve Top,"Rs. 10,800.00",CARBON38
Pearl Necklace Sweater Tank,"Rs. 13,600.00",CARBON38
Off Shoulder Sweatshirt in French Terry,"Rs. 13,600.00",CARBON38
Mock Neck Corset Zip Top in Melt,"Rs. 13,600.00",CARBON38
Pearl Sweatshirt,"Rs. 14,500.00",CARBON38
Wool Blend Slouchy Knit Sweater,"Rs. 15,400.00",CARBON38
Pearl Necklace Sweater Tank,"Rs. 13,600.00",CARBON38
Peplum Zip Up,"Rs. 16,300.00",CARBON38
Crop Tee,"Rs. 10,500.00",PORT DE BRAS
Sweater Shrug,"Rs. 13,600.00",CARBON38
Nomai Sheer Sleeve Mock Neck Sweater,"Rs. 26,100.00",Theo The Label
Cross Over Sweater,"Rs. 14,500.00",CARBON38
Wool Blend Slouchy Knit Sweater,"Rs. 15,400.00",CARBON38
Cross Over Sweater,"Rs. 14,500.00",CARBON38
Mock Neck Corset Zip Top in Melt,"Rs. 13,600.00",CARBON38
Serena Top,"Rs. 13,300.00",PORT DE BRAS
Timberley Half Zip Midlayer,"Rs. 11,700.00",VARLEY
Willard Half Zip Knit 2.0,"Rs. 16,300.00",VARLEY
Castilla Clara Knit Crew,"Rs. 17,400.00",THE UPSIDE
Off Shoulder Sweatshirt in French Terry,"Rs. 13,600.00",CARBON38
Golden Mesh Tee Shirt,"Rs. 9,000.00",CARBON38
Club38 Sweater Vest,"Rs. 12,600.00",ELLSWORTH + IVEY
Oversized Raglan Sleeve Top W/ Tube Scarf,"Rs. 29,200.00",NORMA KAMALI
NK Sleeve Drop Shoulder Side Drape Top,"Rs. 10,100.00",NORMA KAMALI
Asymmetrical Sweater Top,"Rs. 12,600.00",CARBON38
Pullover Sweatshirt,"Rs. 11,700.00",CARBON38
Short Sleeve Off Shoulder Sweatshirt in French Terry,"Rs. 12,600.00",CARBON38
aSMC CRO Hoodie,"Rs. 11,000.00",ADIDAS BY STELLA MCCARTNEY
Mock Neck Corset Zip Top in Melt,"Rs. 13,600.00",CARBON38
Sheer Spliced Mock Neck in Melt,"Rs. 11,700.00",CARBON38
Collared High Low Tunic,"Rs. 11,700.00",CARBON38
Tuxedo Mock Neck Top,"Rs. 10,800.00",CARBON38
Long Sleeve Tie Top in Melt,"Rs. 11,900.00",CARBON38
Cross Over Sweater,"Rs. 14,500.00",CARBON38
Wool Blend Slouchy Knit Sweater,"Rs. 15,400.00",CARBON38
Priya Sweat,"Rs. 14,500.00",VARLEY
Half Zip Boucle Pullover,"Rs. 17,200.00",CARBON38
Tuxedo Mock Neck Top,"Rs. 10,800.00",CARBON38
Raleigh Zip Through Sweat,"Rs. 15,400.00",VARLEY
Mock Neck Corset Zip Top in Melt,"Rs. 13,600.00",CARBON38
Striped Puff Sleeve Sweater,"Rs. 16,300.00",CARBON38
Off Shoulder Sweatshirt in French Terry,"Rs. 13,600.00",CARBON38
Half Zip Boucle Pullover,"Rs. 17,200.00",CARBON38
Reversible Boucle Sweater,"Rs. 15,400.00",CARBON38
Milano Half Zip Sweat,"Rs. 11,700.00",VARLEY
Maxwork Cable Pullover,"Rs. 20,900.00",KERRI ROSENTHAL
Ailsa Zip Through Midlayer,"Rs. 13,600.00",VARLEY
Wool Blend Slouchy Knit Sweater,"Rs. 15,400.00",CARBON38
Striped Puff Sleeve Sweater,"Rs. 16,300.00",CARBON38
Off Shoulder Sweatshirt in French Terry,"Rs. 13,600.00",CARBON38
Asymmetrical Sweater Top,"Rs. 12,600.00",CARBON38
Eleanor Patch Pocket Fleece,"Rs. 17,200.00",VARLEY
Long Sleeve Tie Top in Melt,"Rs. 12,600.00",CARBON38
Half Zip Asymmetrical Pullover in Interlock,"Rs. 13,600.00",CARBON38
Pullover Sweatshirt,"Rs. 11,700.00",CARBON38
Fringe Tank in Melt,"Rs. 11,700.00",CARBON38
Pleated Running Tank,"Rs. 9,900.00",CARBON38
Crochet Off Shoulder Sweater,"Rs. 27,400.00",CARBON38
aSMC TruePace Running Crop,"Rs. 6,400.00",ADIDAS BY STELLA MCCARTNEY
Varsity Cable Knit Cardigan,"Rs. 14,500.00",CARBON38
Short Sleeve Off Shoulder Sweatshirt in French Terry,"Rs. 12,600.00",CARBON38
Wool Blend Slouchy Knit Sweater,"Rs. 15,400.00",CARBON38
Strappy Tank in Melt,"Rs. 9,900.00",CARBON38
Long Sleeve Tie Top in Melt,"Rs. 12,600.00",CARBON38
Colorblock High Neck Tank,"Rs. 9,900.00",CARBON38
Off Shoulder Sweatshirt in French Terry,"Rs. 13,600.00",CARBON38
Mixed Media Rugby Collared Sweater,"Rs. 14,500.00",CARBON38
Long Sleeve Tie Top in Melt,"Rs. 12,600.00",CARBON38
Colorblock High Neck Tank,"Rs. 9,900.00",CARBON38
Wide Scoop Bra Tank in Melt,"Rs. 9,000.00",CARBON38
Pullover Sweatshirt,"Rs. 11,700.00",CARBON38
Long Sleeve Off Shoulder Tee,"Rs. 8,100.00",CARBON38
Racer Tailored Terry Tank Top,"Rs. 11,500.00",NORMA KAMALI
Pullover Sweatshirt,"Rs. 11,700.00",CARBON38
Slouchy Knit Sweater,"Rs. 14,500.00",CARBON38
Fringe Mock Neck in Melt,"Rs. 12,600.00",CARBON38
Volley Zip Sleeveless Top,"Rs. 9,000.00",AVI
